-----------------------------------------------------------------------------
Benchmark                                   Time             CPU   Iterations
-----------------------------------------------------------------------------
BM_AddOrder_Empty                         515 ns          515 ns      1378686
BM_AddOrder_Empty                         513 ns          513 ns      1378686
BM_AddOrder_Empty                         511 ns          511 ns      1378686
BM_AddOrder_Empty_mean                    513 ns          513 ns            3
BM_AddOrder_Empty_median                  513 ns          513 ns            3
BM_AddOrder_Empty_stddev                 2.03 ns         1.85 ns            3
BM_AddOrder_Empty_cv                     0.40 %          0.36 %             3
BM_AddOrder_NoMatch                       532 ns          532 ns      1315221
BM_AddOrder_NoMatch                       531 ns          531 ns      1315221
BM_AddOrder_NoMatch                       532 ns          532 ns      1315221
BM_AddOrder_NoMatch_mean                  531 ns          531 ns            3
BM_AddOrder_NoMatch_median                532 ns          532 ns            3
BM_AddOrder_NoMatch_stddev              0.718 ns        0.676 ns            3
BM_AddOrder_NoMatch_cv                   0.14 %          0.13 %             3
BM_Match_SingleLevel                     1067 ns         1040 ns       689288
BM_Match_SingleLevel                     1027 ns         1025 ns       689288
BM_Match_SingleLevel                     1023 ns         1022 ns       689288
BM_Match_SingleLevel_mean                1039 ns         1029 ns            3
BM_Match_SingleLevel_median              1027 ns         1025 ns            3
BM_Match_SingleLevel_stddev              24.6 ns         9.71 ns            3
BM_Match_SingleLevel_cv                  2.37 %          0.94 %             3
BM_Match_MultiLevel                     21405 ns        21387 ns        33075
BM_Match_MultiLevel                     21339 ns        21308 ns        33075
BM_Match_MultiLevel                     21143 ns        21133 ns        33075
BM_Match_MultiLevel_mean                21296 ns        21276 ns            3
BM_Match_MultiLevel_median              21339 ns        21308 ns            3
BM_Match_MultiLevel_stddev                136 ns          130 ns            3
BM_Match_MultiLevel_cv                   0.64 %          0.61 %             3
BM_MarketOrder                           3246 ns         3161 ns       222396
BM_MarketOrder                           3156 ns         3154 ns       222396
BM_MarketOrder                           3165 ns         3156 ns       222396
BM_MarketOrder_mean                      3189 ns         3157 ns            3
BM_MarketOrder_median                    3165 ns         3156 ns            3
BM_MarketOrder_stddev                    49.5 ns         3.25 ns            3
BM_MarketOrder_cv                        1.55 %          0.10 %             3
BM_IOC_Order                             2428 ns         2424 ns       293367
BM_IOC_Order                             2393 ns         2394 ns       293367
BM_IOC_Order                             2478 ns         2406 ns       293367
BM_IOC_Order_mean                        2433 ns         2408 ns            3
BM_IOC_Order_median                      2428 ns         2406 ns            3
BM_IOC_Order_stddev                      42.3 ns         15.2 ns            3
BM_IOC_Order_cv                          1.74 %          0.63 %             3
BM_Cancel_Order                          1153 ns         1154 ns       603370
BM_Cancel_Order                          1152 ns         1152 ns       603370
BM_Cancel_Order                          1147 ns         1148 ns       603370
BM_Cancel_Order_mean                     1151 ns         1151 ns            3
BM_Cancel_Order_median                   1152 ns         1152 ns            3
BM_Cancel_Order_stddev                   3.10 ns         3.12 ns            3
BM_Cancel_Order_cv                       0.27 %          0.27 %             3
BM_Gateway_Validation                     535 ns          535 ns      1316086
BM_Gateway_Validation                     534 ns          534 ns      1316086
BM_Gateway_Validation                     533 ns          533 ns      1316086
BM_Gateway_Validation_mean                534 ns          534 ns            3
BM_Gateway_Validation_median              534 ns          534 ns            3
BM_Gateway_Validation_stddev            0.936 ns        0.928 ns            3
BM_Gateway_Validation_cv                 0.18 %          0.17 %             3
BM_Match_VaryLevels/1                    2850 ns         2851 ns       246143
BM_Match_VaryLevels/1                    2855 ns         2856 ns       246143
BM_Match_VaryLevels/1                    2949 ns         2878 ns       246143
BM_Match_VaryLevels/1_mean               2884 ns         2862 ns            3
BM_Match_VaryLevels/1_median             2855 ns         2856 ns            3
BM_Match_VaryLevels/1_stddev             55.6 ns         14.6 ns            3
BM_Match_VaryLevels/1_cv                 1.93 %          0.51 %             3
BM_Match_VaryLevels/5                   11331 ns        11302 ns        61528
BM_Match_VaryLevels/5                   11494 ns        11321 ns        61528
BM_Match_VaryLevels/5                   11201 ns        11199 ns        61528
BM_Match_VaryLevels/5_mean              11342 ns        11274 ns            3
BM_Match_VaryLevels/5_median            11331 ns        11302 ns            3
BM_Match_VaryLevels/5_stddev              147 ns         65.7 ns            3
BM_Match_VaryLevels/5_cv                 1.29 %          0.58 %             3
BM_Match_VaryLevels/10                  21604 ns        21582 ns        32561
BM_Match_VaryLevels/10                  21637 ns        21628 ns        32561
BM_Match_VaryLevels/10                  21682 ns        21653 ns        32561
BM_Match_VaryLevels/10_mean             21641 ns        21621 ns            3
